"Time (s)","Illuminance (lx)"
4.570125995E2,8.200000000E1
4.578126354E2,8.300000000E1
4.580126385E2,8.200000000E1
4.608125997E2,8.300000000E1
4.610126069E2,8.200000000E1
4.612125998E2,8.300000000E1
4.618126071E2,8.200000000E1
4.652125988E2,8.100000000E1
4.654125996E2,8.200000000E1
4.672125988E2,8.100000000E1
4.674125994E2,8.000000000E1
4.676125989E2,7.900000000E1
4.694125919E2,8.000000000E1
4.698126000E2,7.900000000E1
4.700126075E2,7.800000000E1
4.704126072E2,7.900000000E1
4.706125999E2,8.000000000E1
4.714125994E2,7.800000000E1
4.720126075E2,7.900000000E1
4.726126127E2,7.800000000E1
4.750125989E2,7.700000000E1
4.754126072E2,7.600000000E1
4.768125994E2,7.500000000E1
4.772126073E2,7.600000000E1
4.780125989E2,7.700000000E1
4.782125997E2,7.800000000E1
4.788125832E2,7.900000000E1
4.790125989E2,7.800000000E1
4.796126075E2,7.700000000E1
4.798125989E2,7.600000000E1
4.816125992E2,7.700000000E1
4.818126072E2,7.800000000E1
4.824125989E2,7.900000000E1
4.830125997E2,8.000000000E1
4.838125997E2,8.100000000E1
4.840125989E2,8.000000000E1
4.844125989E2,7.900000000E1
4.846125994E2,4.900000000E1
4.848126081E2,1.300000000E1
4.850125944E2,6.000000000E0
4.854125992E2,5.000000000E0
4.860125994E2,6.000000000E0
4.868125994E2,5.000000000E0
4.870125994E2,6.000000000E0
4.872125994E2,5.000000000E0
4.874126075E2,6.000000000E0
4.882125921E2,5.000000000E0
4.890126462E2,6.000000000E0
4.892126470E2,5.000000000E0
4.894126417E2,6.000000000E0
4.898126489E2,5.000000000E0
4.912129078E2,4.000000000E0
4.918126078E2,3.000000000E0
4.932125997E2,4.000000000E0
4.944125839E2,3.000000000E0
4.952125988E2,2.000000000E0
4.956126070E2,1.000000000E0
4.958125999E2,2.000000000E0
4.962125994E2,1.000000000E0
4.970125999E2,2.000000000E0
4.974126835E2,1.000000000E0
4.990126522E2,2.000000000E0
4.996126521E2,1.000000000E0
5.024125989E2,2.000000000E0
5.028126072E2,3.000000000E0
5.034126070E2,4.000000000E0
5.036125989E2,6.000000000E0
5.038125924E2,9.000000000E0
5.040125927E2,1.100000000E1
5.042125997E2,1.300000000E1
5.044126075E2,1.700000000E1
5.046125991E2,3.000000000E1
5.048126075E2,6.100000000E1
5.050125997E2,8.100000000E1
5.064126073E2,8.200000000E1
5.070125997E2,8.300000000E1
5.078125992E2,8.200000000E1
5.080126072E2,8.300000000E1
5.082125989E2,8.400000000E1
5.084125994E2,8.700000000E1
5.086125991E2,8.900000000E1
5.088126002E2,9.000000000E1
5.092126072E2,9.100000000E1
5.094125989E2,9.000000000E1
5.098126073E2,9.100000000E1
5.100126073E2,9.000000000E1
5.102125961E2,9.100000000E1
5.116125991E2,9.000000000E1
5.124126003E2,9.100000000E1
5.132125997E2,9.000000000E1
5.140126452E2,9.100000000E1
5.152126501E2,9.200000000E1
5.158126477E2,9.100000000E1
5.160125994E2,9.200000000E1
5.174125997E2,9.300000000E1
5.176126072E2,9.200000000E1
5.178125995E2,9.300000000E1
5.194125995E2,9.200000000E1
5.196125920E2,9.300000000E1
5.200125997E2,9.200000000E1
5.202126075E2,9.300000000E1
5.204126010E2,9.200000000E1
5.206126075E2,9.300000000E1
5.216126010E2,9.400000000E1
5.220125999E2,9.300000000E1
5.230125995E2,9.200000000E1
5.238126010E2,9.300000000E1
5.254126073E2,9.400000000E1
5.260125825E2,9.300000000E1
5.264125992E2,9.400000000E1
5.274125989E2,9.300000000E1
5.306126513E2,9.400000000E1
5.308126547E2,9.500000000E1
5.318126129E2,9.400000000E1
5.320129727E2,9.500000000E1
5.324126101E2,9.400000000E1
5.328126103E2,9.300000000E1
5.330126025E2,9.400000000E1
5.334126030E2,9.500000000E1
5.338126025E2,9.400000000E1
5.340126103E2,9.300000000E1
5.352125860E2,9.400000000E1
5.358126101E2,9.500000000E1
5.360126017E2,9.400000000E1
5.370126020E2,9.300000000E1
5.372126022E2,9.400000000E1
5.376126101E2,9.300000000E1
5.378195529E2,9.400000000E1
5.394126025E2,9.300000000E1
5.396126017E2,9.400000000E1
5.404126019E2,9.300000000E1
5.416126020E2,9.400000000E1
5.436126022E2,9.300000000E1
5.460126017E2,9.200000000E1
5.476126027E2,9.300000000E1
5.502126038E2,9.400000000E1
5.510126017E2,9.300000000E1
5.516126017E2,9.200000000E1
5.526126101E2,9.100000000E1
5.528126025E2,9.000000000E1
5.534126097E2,9.100000000E1
5.538126020E2,9.200000000E1
5.540126027E2,9.300000000E1
5.544126025E2,9.200000000E1
5.548126103E2,9.000000000E1
5.550126103E2,8.900000000E1
5.554126025E2,9.000000000E1
5.556126014E2,9.100000000E1
5.558126026E2,9.200000000E1
5.560126019E2,9.100000000E1
5.564126014E2,8.900000000E1
5.568126103E2,9.000000000E1
5.572126101E2,9.100000000E1
5.574126017E2,9.200000000E1
5.578125942E2,9.300000000E1
5.580126025E2,9.400000000E1
5.584126103E2,9.500000000E1
5.588126027E2,9.400000000E1
5.592126026E2,9.300000000E1
5.594126019E2,9.200000000E1
5.596126035E2,9.100000000E1
5.600126025E2,9.000000000E1
5.612126019E2,9.200000000E1
5.614126025E2,9.400000000E1
5.616126022E2,9.500000000E1
5.622126451E2,9.400000000E1
5.628126409E2,9.500000000E1
5.630126554E2,9.600000000E1
5.640127197E2,9.500000000E1
5.644125871E2,9.400000000E1
5.648126103E2,9.100000000E1
5.650126028E2,8.400000000E1
5.652126020E2,8.000000000E1
5.664126025E2,8.100000000E1
5.666126101E2,8.200000000E1
5.670126019E2,8.300000000E1
5.672126101E2,8.200000000E1
5.674126019E2,8.100000000E1
5.676125849E2,7.100000000E1
5.678126028E2,6.100000000E1
5.680126019E2,6.000000000E1
5.682126038E2,5.900000000E1
5.686126083E2,6.000000000E1
5.696126020E2,6.100000000E1
5.718126100E2,5.300000000E1
5.720126103E2,4.300000000E1
5.722126103E2,4.200000000E1
5.724126019E2,4.000000000E1
5.730126100E2,4.100000000E1
5.734126017E2,4.200000000E1
5.752126017E2,4.300000000E1
5.756126017E2,3.900000000E1
5.758126028E2,2.900000000E1
5.760126017E2,2.400000000E1
5.764126019E2,2.300000000E1
5.774125966E2,2.400000000E1
5.782126521E2,2.000000000E1
5.784126479E2,1.400000000E1
5.786126461E2,1.200000000E1
5.788126484E2,1.100000000E1
5.792126412E2,1.200000000E1
5.810126101E2,1.000000000E1
5.812126100E2,8.000000000E0
5.816126025E2,7.000000000E0
5.834126106E2,5.000000000E0
5.836126017E2,4.000000000E0
5.838125948E2,3.000000000E0
5.842126100E2,2.000000000E0
5.882126017E2,3.000000000E0
5.890126020E2,2.000000000E0
5.924126411E2,1.000000000E0
5.942125988E2,2.000000000E0
5.944126065E2,1.000000000E0
5.998125827E2,2.000000000E0
6.000125920E2,1.200000000E1
6.002125988E2,5.800000000E1
6.004125982E2,9.400000000E1
6.006126307E2,9.500000000E1
6.008126071E2,9.600000000E1
6.010125990E2,9.800000000E1
6.012125985E2,9.900000000E1
6.020126069E2,9.800000000E1
6.086125987E2,9.700000000E1
6.088125984E2,9.800000000E1
6.100125823E2,9.700000000E1
6.110126475E2,9.800000000E1
6.116126449E2,9.700000000E1
6.118126439E2,9.800000000E1
6.120126442E2,9.700000000E1
6.122126457E2,9.800000000E1
6.136125987E2,9.700000000E1
6.142125985E2,9.800000000E1
6.152125993E2,9.700000000E1
6.156126071E2,9.800000000E1
6.164125990E2,9.700000000E1
6.172126065E2,9.800000000E1
6.180125993E2,9.700000000E1
6.182125985E2,9.800000000E1
6.190190220E2,9.700000000E1
6.192125993E2,9.800000000E1
6.198125921E2,9.700000000E1
6.214125993E2,9.800000000E1
6.222126066E2,9.700000000E1
6.230125987E2,9.800000000E1
6.234125822E2,9.700000000E1
6.240125993E2,9.800000000E1
6.244125990E2,9.700000000E1
6.250126071E2,9.600000000E1
6.252125990E2,9.700000000E1
6.256125993E2,9.800000000E1
6.266125961E2,9.700000000E1
6.280126066E2,9.600000000E1
6.282125987E2,9.700000000E1
6.286125993E2,9.600000000E1
6.292125983E2,9.700000000E1
6.296125990E2,9.800000000E1
6.298125832E2,9.700000000E1
6.300125833E2,9.600000000E1
6.306126505E2,9.700000000E1
6.318126512E2,9.600000000E1
6.320126113E2,9.700000000E1
6.328125985E2,9.600000000E1
6.356125988E2,9.700000000E1
6.364125827E2,9.600000000E1
6.382126071E2,9.700000000E1
6.388125990E2,9.600000000E1
6.414125993E2,9.500000000E1
6.416125985E2,9.600000000E1
6.422125996E2,9.700000000E1
6.424125993E2,9.600000000E1
6.442125985E2,9.500000000E1
6.444125991E2,9.600000000E1
6.452126071E2,9.500000000E1
6.460125988E2,9.600000000E1
6.470126475E2,9.700000000E1
6.472126422E2,9.600000000E1
6.528126012E2,9.700000000E1
6.530125933E2,9.600000000E1
6.560126009E2,9.500000000E1
6.562125935E2,7.300000000E1
6.564125934E2,2.800000000E1
6.566126088E2,3.000000000E0
6.568126090E2,2.000000000E0
6.572126006E2,6.000000000E0
6.574126090E2,3.400000000E1
6.576126087E2,7.500000000E1
6.578126014E2,9.200000000E1
6.582126092E2,9.300000000E1
6.584126087E2,9.400000000E1
6.586126012E2,9.500000000E1
6.588126085E2,9.600000000E1
6.598126025E2,9.500000000E1
6.600126022E2,9.600000000E1
6.602126007E2,9.500000000E1
